name,bus,control,type,p_nom,p_nom_mod,p_nom_extendable,p_nom_min,p_nom_max,p_nom_set,p_min_pu,p_max_pu,p_set,q_set,p_dispatch_set,p_store_set,sign,carrier,spill_cost,marginal_cost,marginal_cost_quadratic,marginal_cost_storage,capital_cost,overnight_cost,discount_rate,fom_cost,active,build_year,lifetime,state_of_charge_initial,state_of_charge_initial_per_period,state_of_charge_set,cyclic_state_of_charge,cyclic_state_of_charge_per_period,max_hours,efficiency_store,efficiency_dispatch,standing_loss,inflow,p_nom_opt,lon,lat
FES_Battery_Wymondley_2035_141,Z14,PQ,,55.085,0.0,False,0.0,inf,,-1.0,1.0,,0.0,,,1.0,Battery,0.0,0.0,0.0,0.0,0.0,,,0.0,True,0,inf,55.085,False,,False,False,2.0,0.92,0.92,0.001,0.0,0.0,-0.157,51.536
FES_Battery_Islington_2035_142,Z14,PQ,,2.85,0.0,False,0.0,inf,,-1.0,1.0,,0.0,,,1.0,Battery,0.0,0.0,0.0,0.0,0.0,,,0.0,True,0,inf,2.85,False,,False,False,2.0,0.92,0.92,0.001,0.0,0.0,-0.157,51.536
FES_Battery_Littlebrook_LPN_2035_143,Z14,PQ,,13.0,0.0,False,0.0,inf,,-1.0,1.0,,0.0,,,1.0,Battery,0.0,0.0,0.0,0.0,0.0,,,0.0,True,0,inf,13.0,False,,False,False,2.0,0.92,0.92,0.001,0.0,0.0,-0.157,51.536
FES_Battery_New_Cross_66kV_2035_144,Z14,PQ,,1.0,0.0,False,0.0,inf,,-1.0,1.0,,0.0,,,1.0,Battery,0.0,0.0,0.0,0.0,0.0,,,0.0,True,0,inf,1.0,False,,False,False,2.0,0.92,0.92,0.001,0.0,0.0,-0.157,51.536
FES_Battery_Bolney_2035_145,Z16,PQ,,55.8,0.0,False,0.0,inf,,-1.0,1.0,,0.0,,,1.0,Battery,0.0,0.0,0.0,0.0,0.0,,,0.0,True,0,inf,55.8,False,,False,False,2.0,0.92,0.92,0.001,0.0,0.0,-0.725,51.039
FES_Battery_Canterbury_2035_146,Z15,PQ,,52.4,0.0,False,0.0,inf,,-1.0,1.0,,0.0,,,1.0,Battery,0.0,0.0,0.0,0.0,0.0,,,0.0,True,0,inf,52.4,False,,False,False,2.0,0.92,0.92,0.001,0.0,0.0,0.826,51.312
FES_Battery_Kemsley_2035_147,Z15,PQ,,98.9,0.0,False,0.0,inf,,-1.0,1.0,,0.0,,,1.0,Battery,0.0,0.0,0.0,0.0,0.0,,,0.0,True,0,inf,98.9,False,,False,False,2.0,0.92,0.92,0.001,0.0,0.0,0.826,51.312
FES_Battery_Kingsnorth_2035_148,Z15,PQ,,49.5,0.0,False,0.0,inf,,-1.0,1.0,,0.0,,,1.0,Battery,0.0,0.0,0.0,0.0,0.0,,,0.0,True,0,inf,49.5,False,,False,False,2.0,0.92,0.92,0.001,0.0,0.0,0.826,51.312
FES_Battery_Ninfield_2035_149,Z15,PQ,,102.5,0.0,False,0.0,inf,,-1.0,1.0,,0.0,,,1.0,Battery,0.0,0.0,0.0,0.0,0.0,,,0.0,True,0,inf,102.5,False,,False,False,2.0,0.92,0.92,0.001,0.0,0.0,0.826,51.312
FES_Battery_Northfleet_East_2035_150,Z14,PQ,,91.84,0.0,False,0.0,inf,,-1.0,1.0,,0.0,,,1.0,Battery,0.0,0.0,0.0,0.0,0.0,,,0.0,True,0,inf,91.84,False,,False,False,2.0,0.92,0.92,0.001,0.0,0.0,-0.157,51.536
FES_Battery_West_Weybridge_2035_151,Z14,PQ,,6.0,0.0,False,0.0,inf,,-1.0,1.0,,0.0,,,1.0,Battery,0.0,0.0,0.0,0.0,0.0,,,0.0,True,0,inf,6.0,False,,False,False,2.0,0.92,0.92,0.001,0.0,0.0,-0.157,51.536
FES_Direct_Battery_EPSRC_Willenhall_2035_152,Z11,PQ,,9.550779863100793,0.0,False,0.0,inf,,-1.0,1.0,,0.0,,,1.0,Battery,0.0,0.0,0.0,0.0,0.0,,,0.0,True,0,inf,9.550779863100793,False,,False,False,2.0,0.92,0.92,0.001,0.0,0.0,-1.647,52.569
FES_Direct_Battery_Rise_Carr_Darlington___CLNR_EES3_1_2035_153,Z7,PQ,,11.938474828875991,0.0,False,0.0,inf,,-1.0,1.0,,0.0,,,1.0,Battery,0.0,0.0,0.0,0.0,0.0,,,0.0,True,0,inf,11.938474828875991,False,,False,False,2.0,0.92,0.92,0.001,0.0,0.0,-2.186,54.884
